书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,用户标签,出版社
https://book.douban.com/subject/3162179/,https://img9.doubanio.com/view/subject/s/public/s3202355.jpg,一个广告人的自白, ,8.5,1734人,大卫·奥格威 / 林桦 / 中信出版社 / 2008-9 / 36.00元,如果一个中国广告人只知道一个外国广告人的名字，他知道的多半会是大卫•奥格威；同样，如果只知道一本广告经典，那本书多半就是《一个广告人的自白》。奥格威和《一个... ,广告&奥格威&一个广告人的自白&营销&传记&传媒&传播学&传播,中信出版社
https://book.douban.com/subject/20395644/,https://img1.doubanio.com/view/subject/s/public/s24461847.jpg,大量流出, ,7.6,886人,许舜英 / 广西师范大学出版社 / 2012-12 / 98.00元,就文字来说，《大量流出》是一种可称之为“许舜英文体”的呈现，如果大家够熟悉意识形态的广告，就了解那种特殊文体的魅力，似诗非诗，像一则则的偈语，透过影像文字和... ,许舜英&广告&文化&台湾&时尚&文案&广西师大出版社&社会学,广西师范大学出版社
https://book.douban.com/subject/1894695/,https://img1.doubanio.com/view/subject/s/public/s1871747.jpg,营销管理, ,9.0,2151人,[美] 菲利普·科特勒、[美] 凯文·莱恩·凯勒 / 梅清豪 / 上海人民出版社 / 2006-9 / 78.00元,《营销管理》是一本经典的教科书，一部营销学领域的圣经，一卷惠泽数亿人的巨著，历经四十年考验，营销大师首次携手中生代权威学者，共同打造最新版营销圣经。在全球的... ,营销&营销管理&市场营销&菲利普·科特勒&管理&商业&管理学&销售,上海人民出版社
https://book.douban.com/subject/2363651/,https://img2.doubanio.com/view/subject/s/public/s6871791.jpg,十四堂人生创意课, ,8.1,14873人,李欣频 / 电子工业出版社 / 2008-1 / 26.00,这本书脱胎于李欣频在教授广告创意课时的笔记，在授课时，李欣频认为不需事先准备具体的教程，因为世事变化太快，每周都会有新的生命教材在发生，还来不及写进教科书里... ,李欣频&创意&十四堂人生创意课&广告&成长&启发&生活&台湾,电子工业出版社
https://book.douban.com/subject/26823976/,https://img9.doubanio.com/view/subject/s/public/s28837406.jpg,品牌洗脑（珍藏版）,世界著名品牌只做不说的营销秘密,7.9,638人,[美]马丁•林斯特龙（Martin Lindstrom） / 赵萌萌 / 中信出版社 / 2016-8-1 / 49.00,全球知名品牌营销大师马丁•林斯特龙有一天突然对品牌感到厌倦，他决定以一个普通消费者的身份对品牌进行为期一年的“戒毒”——不购买新的品牌商品。但是，在坚持了6... ,营销&品牌&商业&广告&思维&方法论&经典&好书，值得一读,中信出版社
https://book.douban.com/subject/24738953/,https://img1.doubanio.com/view/subject/s/public/s26816729.jpg,疯狂的简洁, ,6.9,636人,【美】肯·西格尔 / 王岑卉 / 北京联合出版公司 / 2013-7 / 42,暂无,设计&思维&营销&广告&商业&学习成长&新经济,北京联合出版公司
https://book.douban.com/subject/26919762/,https://img1.doubanio.com/view/subject/s/public/s33786468.jpg,畅销的原理,为什么好观念、好产品会一炮而红？,7.8,586人,[爱尔兰] 马修·威尔科克斯（Matthew Willcox） / 包云波 / 后浪丨北京联合出版公司 / 2020-12 / 46.00元,暂无,营销&商业&心理学&思维&经济学&广告&经管&行为学,后浪丨北京联合出版公司
https://book.douban.com/subject/35431378/,https://img9.doubanio.com/view/subject/s/public/s33883976.jpg,创作者, ,7.7,331人,张宁 / 湖南文艺出版社 / 2021-4-1 / 68.00元,暂无,自媒体&知乎&写作&商业&成长&新经济&广告&中国,湖南文艺出版社
https://book.douban.com/subject/20413922/,https://img3.doubanio.com/view/subject/s/public/s24461990.jpg,视觉锤,视觉时代的定位之道,7.1,1191人,（美）劳拉•里斯 / 王刚 / 机械工业出版社 / 2012-12 / 49.00元,暂无,营销&定位&视觉设计&商业&设计&市场营销&品牌&广告,机械工业出版社
https://book.douban.com/subject/26870611/,https://img1.doubanio.com/view/subject/s/public/s29032547.jpg,超级符号就是超级创意（全彩增订版）,席卷中国市场14年的华与华战略营销创意方法,8.3,814人,华杉、华楠 / 江苏凤凰文艺出版社 / 59.90,“华与华方法”的只言片语在营销界流传已广，“超级符号”“品牌寄生”等词汇也被越来越多的营销人知道、理解和应用，但作为本土营销界首次成体系的营销思想，十余年来... ,营销&广告&商业&品牌&经管&经典&创意&好书，值得一读,江苏凤凰文艺出版社
https://book.douban.com/subject/30157243/,https://img2.doubanio.com/view/subject/s/public/s29703882.jpg,如何把产品打造成有生命的品牌,跟广告鬼才叶明桂学品牌的技术与艺术,7.5,796人,叶明桂 / 中信出版社 / 2018-2 / 42.00元,暂无,广告&品牌&营销&创意&奥美&文案&设计&2018,中信出版社
https://book.douban.com/subject/35236126/,https://img1.doubanio.com/view/subject/s/public/s33752237.jpg,那些想红的年轻人,自媒体人生存指南,8.1,180人,G 僧东、林仙子 / 民主与建设出版社 / 2020-11 / 45.00,暂无,自媒体&创业&广告&科普读物&中国,民主与建设出版社
https://book.douban.com/subject/30412849/,https://img2.doubanio.com/view/subject/s/public/s29958351.jpg,文案变现,写出有效文案的四个黄金步骤,7.7,519人,叶小鱼 / 东方出版中心 / 2019-1-1 / 49.80元,暂无,文案&写作&新媒体&广告&营销&营销策划&学习&我想读这本书,东方出版中心
https://book.douban.com/subject/35149278/,https://img2.doubanio.com/view/subject/s/public/s33691871.jpg,瘾 让人上瘾的产品、广告背后的秘密, ,6.4,113人,吴文芳 / 北京时代 / 2020-8 / 45.00,暂无,广告&艺术设计&自我提升&思维方式&传媒&社会学&2021&上瘾,北京时代
https://book.douban.com/subject/35304762/,https://img2.doubanio.com/view/subject/s/public/s33806462.jpg,人心红利,存量博弈下的企业增长方法论,6.7,237人,江南春 / 中信出版集团 / 2021-1-1 / 56,传承40余年的国产老品牌，如何突破消费者心中的“还行”印象，强势归来？只在小资人群中流行的新兴品牌，如何破界获客？业界排名靠后的品牌，如何逆转市场“老大”的... ,营销&广告&商业&策略&管理&樊登读书会&投资&中信,中信出版集团
https://book.douban.com/subject/35434427/,https://img1.doubanio.com/view/subject/s/public/s33876347.jpg,DTC创造品牌奇迹,把产品直接卖给消费者,7.8,82人,劳伦斯·英格拉西亚（Lawrence Ingrassia） / 汤文静 / 天津科学技术出版社 / 2021-4 / 89.90,● 从当下关注度极高，并且已经大获成功的DTC品牌，如美元剃须俱乐部、沃比帕克眼镜、卡斯珀床垫等入手，揭示了如何将DTC运营模式与现代技术完美结合，让新品牌... ,商业&品牌&商业模式&营销&运营&广告&微信读书&艺术设计,天津科学技术出版社
https://book.douban.com/subject/35521403/,https://img9.doubanio.com/view/subject/s/public/s33943274.jpg,故事营销, ,8.5,84人,徐图图 / 天津人民出版社 / 2021-3-1 / 56元,暂无,广告&创意&故事&讲故事&营销&文学&艺术&电影,天津人民出版社
https://book.douban.com/subject/33462201/,https://img9.doubanio.com/view/subject/s/public/s32331254.jpg,科学的广告,Scientific Advertising,8.0,234人,【美】克劳德·霍普金斯 / 史雷 / 上海文化出版社 / 2019-6-1 / 58.00,暂无,广告&营销&传播学&好书，值得一读&外国文学&设计&歐美,上海文化出版社
https://book.douban.com/subject/26437067/,https://img2.doubanio.com/view/subject/s/public/s29343272.jpg,文案训练手册,广告文案、网站编辑、淘宝微商，提升效率与业绩的必备教材，来自美国,7.5,841人,约瑟夫·休格曼 / 杨紫苏、张晓丽 / 中信出版社 / 2015-7-1 / CNY 45.00,暂无,文案&文案写作&营销&广告&写作&工具书&传播学&商业,中信出版社
https://book.douban.com/subject/35221772/,https://img9.doubanio.com/view/subject/s/public/s33744285.jpg,幕后大脑,100位总监解100个营销难题（特别定制版）,7.8,174人,陈耀福、陈绍团、关健明、叶明桂、丰信东、赵宁、熊超、李欣频、樊苗林、空手 / 主编：鬼鬼 丁和珍 / 东方出版社 / 2020-10 / 132.00元,暂无,广告&文案&好书，值得一读&艺术设计,东方出版社
https://book.douban.com/subject/35644019/,https://img1.doubanio.com/view/subject/s/public/s34031509.jpg,PROPOSER——提案者, ,8.3,21人,TOPYS / 广西师范大学出版社 / 2021-8 / 88,暂无,创意&广告&设计&访谈&建筑&艺术,广西师范大学出版社
https://book.douban.com/subject/1843327/,https://img2.doubanio.com/view/subject/s/public/s5775811.jpg,当代广告学（上下册）,（第8版·上下册）,8.5,213人,[美] 阿伦斯（Arens.W.F.）、丁俊杰、程坪、钟静、康瑾 / 人民邮电 / 2006-6 / 58.00元,"当代广告学（上下册 第8版 通用教材版），ISBN：9787115149022，作者：（美）阿伦斯（Arens,W.F.） 著，丁俊杰，程坪，钟静，康瑾 译... ",广告学&广告&营销&教材&传播学&专业书&新闻传播&商业,人民邮电
https://book.douban.com/subject/35404928/,https://img9.doubanio.com/view/subject/s/public/s33866416.jpg,奥美的观点8 赢在公关,创造品牌影响力,8.3,112人,奥美集团 / 中信出版集团 / 2021-4 / 68.00,自2013年以来，全球营销环境和行业发生了巨大的变化。因应这一变化，奥美内各营销专业的工作边界都得到了拓展，工作方式和手法也更为多元，随之而来的是更为热烈、... ,公关&奥美&品牌&营销&广告&创意&观点&文案,中信出版集团
