书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,出版社
https://book.douban.com/subject/5940595/,https://img3.doubanio.com/view/subject/s/public/s4608270.jpg,向格雷厄姆学思考向巴菲特学投资, ,6.7,55人,（美）劳伦斯 A.坎宁安（Lawrence A.Cunningham） / 闾佳、侯君 / 机械工业出版社 / 2011-1 / 38.00元,暂无,劳伦斯 A.坎宁安,机械工业出版社
https://book.douban.com/subject/26396020/,https://img2.doubanio.com/view/subject/s/public/s28078683.jpg,从零开始学炒股：股票入门与实战, ,6.1,210人,马涛 / 人民邮电出版社 / 2015-5-1 / 39.80元,暂无,马涛,人民邮电出版社
https://book.douban.com/subject/2792822/,https://img1.doubanio.com/view/subject/s/public/s27348188.jpg,"Stocks for the Long Run, 4th Edition",The Definitive Guide to Financial Market Returns &amp; Long Term Investment Strategies: The Definiti,7.8,63人,Jeremy J. Siegel / McGraw-Hill Professional / 2008-1-1 / GBP 21.99,暂无,Jeremy J. Siegel,McGraw-Hill Professional
https://book.douban.com/subject/35219349/,https://img2.doubanio.com/view/subject/s/public/s33733353.jpg,投资大师肯·费雪说，投资中最重要的三个问题, ,7.4,14人,[美]肯·费雪、劳拉·霍夫曼斯、珍妮弗·周 / 中国青年出版社 / 2020-10 / 79.00元,暂无,肯·费雪&劳拉·霍夫曼斯&珍妮弗·周,中国青年出版社
https://book.douban.com/subject/25867656/,https://img2.doubanio.com/view/subject/s/public/s27261043.jpg,经济指标解读,洞悉未来经济趋势和投资机会（珍藏版）,7.7,23人,伯纳德·鲍莫尔 / 徐国兴、申涛 / 中国人民大学出版社 / 2014-2 / 49.00元,《经济指标解读:洞悉未来经济发展趋势和投资机会(第2版)》值得每一个投资者和职业经理人阅读，哪怕你不具备经济学专业的背景知识。作者揭示了这些经济指标背后的秘... ,伯纳德·鲍莫尔,中国人民大学出版社
https://book.douban.com/subject/4928906/,https://img1.doubanio.com/view/subject/s/public/s4428619.jpg,作局,全景解读投机资本幕后博弈,7.9,233人,柴志强 / 机械工业出版社 / 2010-6 / 38.00元,暂无,柴志强,机械工业出版社
https://book.douban.com/subject/4836749/,https://img9.doubanio.com/view/subject/s/public/s4373816.jpg,金融交易学（第一卷）,一个专业投资者的至深感悟,6.5,50人,投资家1973 / 2010-3 / 49.00元,暂无,投资家1973, 
https://book.douban.com/subject/26856852/,https://img1.doubanio.com/view/subject/s/public/s28981948.jpg,量能为王,如何有效捕捉市场机会与牛股,暂无,少于10人,胡胜华 / 中国铁道出版社 / 2015-11 / 45.00元,本书立足于2014年以来的大牛市，深入分析此轮资金牛市的重重谜团。全书以量价为线索，解读万亿成交量之源头，挖掘互联网时代的股市投资机会。从板块效应、基金B法... ,胡胜华,中国铁道出版社
https://book.douban.com/subject/25947541/,https://img9.doubanio.com/view/subject/s/public/s27377015.jpg,竞争优势, ,8.6,167人,迈克尔•波特 (Michael E.Porter) / 陈丽芳 / 中信出版社 / 2014-6-1 / 88.00,《竞争优势》编辑推荐：作为世界上最知名的管理学大师、最伟大的商业思想家之一，迈克尔•波特已在企业竞争的领域研究了数十年。 《竞争战略 》、《竞争优势》等“竞... ,迈克尔•波特,中信出版社
https://book.douban.com/subject/2995592/,https://img1.doubanio.com/view/subject/s/public/s5874378.jpg,超级短线客, ,7.9,33人,马克.弗雷德费帝 / 中国青年 / 2008-2 / 38.00元,《超级短线客》中介绍的技术和工具保证了当今顶级超级短线客在个人和事业上的长期成功。他们是一群日间突击者，他们频繁进出股市，当天冲销数笔交易；他们坚守的信条是... ,马克.弗雷德费帝,中国青年
