书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/26708119/,https://img1.doubanio.com/view/subject/s/public/s28735609.jpg,机器学习, ,8.7,3091人,周志华 / 清华大学出版社 / 2016-1-1 / 88.00元,机器学习是计算机科学与人工智能的重要分支领域. 本书作为该领域的入门教材，在内容上尽可能涵盖机器学习基础知识的各方面。 为了使尽可能多的读者通过本书对机器学... ,周志华
https://book.douban.com/subject/35543447/,https://img2.doubanio.com/view/subject/s/public/s33954543.jpg,剑指Offer（专项突破版）：数据结构与算法名企面试题精讲, ,9.0,20人,何海涛 / 电子工业出版社 / 2021-8 / 89,《剑指Offer（专项突破版）：数据结构与算法名企面试题精讲》全面、系统地总结了在准备程序员面试过程中必备的数据结构与算法。本书首先详细讨论整数、数组、链表... ,何海涛
https://book.douban.com/subject/1885170/,https://img1.doubanio.com/view/subject/s/public/s1959967.jpg,算法导论（原书第2版）, ,9.3,5166人,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 潘金贵 等 / 机械工业出版社 / 2006-9 / 85.00元,这本书深入浅出，全面地介绍了计算机算法。对每一个算法的分析既易于理解又十分有趣，并保持了数学严谨性。本书的设计目标全面，适用于多种用途。涵盖的内容有：算法在... ,Thomas H.Cormen&Charles E.Leiserson&Ronald L.Rivest&Clifford Stein
https://book.douban.com/subject/4048566/,https://img1.doubanio.com/view/subject/s/public/s6078239.jpg,算法设计手册, ,9.2,56人,斯基恩纳 / 清华大学出版社 / 2009-9 / 69.00元,《算法设计手册(第2版)》是算法设计畅销书的最新版本，是设计实用且高效算法的最全面指导书。《算法设计手册(第2版)》揭密了算法的设计与分析，以简单易懂的写作... ,斯基恩纳
https://book.douban.com/subject/27087503/,https://img1.doubanio.com/view/subject/s/public/s29518349.jpg,深度学习, ,8.4,1182人,[美] 伊恩·古德费洛、[加] 约书亚·本吉奥、[加] 亚伦·库维尔 / 赵申剑、黎彧君、符天凡、李凯 / 人民邮电出版社 / 2017-7-1 / 168,《深度学习》由全球知名的三位专家Ian Goodfellow、Yoshua Bengio 和Aaron Courville撰写，是深度学习领域奠基性的经典教... ,伊恩·古德费洛&约书亚·本吉奥&亚伦·库维尔
https://book.douban.com/subject/30136932/,https://img1.doubanio.com/view/subject/s/public/s29682929.jpg,算法竞赛进阶指南, ,9.1,80人,李煜东 / 中原出版传媒集团·河南电子音像出版社 / 2018-1 / 79.00元,暂无,李煜东
https://book.douban.com/subject/26931430/,https://img9.doubanio.com/view/subject/s/public/s29205454.jpg,算法新解, ,9.0,82人,刘新宇 / 人民邮电出版社 / 2016-12-1 / CNY 99.00,本书分4 部分，同时用函数式和传统方法介绍主要的基本算法和数据结构。数据结构部分包括二叉树、红黑树、AVL 树、Trie、Patricia、后缀树、B 树、... ,刘新宇
https://book.douban.com/subject/24749842/,https://img9.doubanio.com/view/subject/s/public/s26710684.jpg,挑战程序设计竞赛, ,9.0,334人,[日]秋叶拓哉、[日]岩田阳一、[日]北川宜稔 / 巫泽俊、庄俊元、李津羽 / 人民邮电出版社 / 2013-7-1 / CNY 79.00,暂无,秋叶拓哉&岩田阳一&北川宜稔
https://book.douban.com/subject/35013197/,https://img2.doubanio.com/view/subject/s/public/s33607323.jpg,深度学习推荐系统, ,9.3,407人,王喆 / 电子工业出版社 / 2020-3 / 108,深度学习在推荐系统领域掀起了一场技术革命，本书从深度学习推荐模型、Embedding技术、推荐系统工程实现、模型评估体系、业界前沿实践等几个方面介绍了这场技... ,王喆
https://book.douban.com/subject/21323941/,https://img3.doubanio.com/view/subject/s/public/s26372180.jpg,具体数学,计算机科学基础,9.6,371人,[美] Ronald L.Graham、[美] Oren Patashnik、[美] Donald E.Knuth / 张凡、张明尧 / 人民邮电出版社 / 2013-4-1 / 99.00元,本书是一本在大学中广泛使用的经典数学教科书。书中讲解了许多计算机科学中用到的数学知识和技巧，教你如何把一个实际问题一步步演化为数学模型，然后通过计算机解决它... ,Ronald L.Graham&Oren Patashnik&Donald E.Knuth
