书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签
https://book.douban.com/subject/27087564/,https://img2.doubanio.com/view/subject/s/public/s29493563.jpg,MyBatis技术内幕, ,8.5,89人,徐郡明 / 电子工业出版社 / 2017-7 / 79,《MyBatis技术内幕》以MyBatis 3.4为基础，针对MyBatis的架构设计和实现细节进行了详细分析，其中穿插介绍了MyBatis源码中涉及的基础... ,徐郡明,Java&计算机&编程&数据库&专业&程序员
https://book.douban.com/subject/27047716/,https://img2.doubanio.com/view/subject/s/public/s29582181.jpg,Effective Java,3rd Edition,9.7,173人,Joshua Bloch / Addison-Wesley Professional / 2018-1-6 / USD 54.99,暂无,Joshua Bloch,Java&计算机&java&编程&Programming&计算机科学&经典&软件开发
https://book.douban.com/subject/5372651/,https://img1.doubanio.com/view/subject/s/public/s4548399.jpg,程序员的思维修炼,开发认知潜能的九堂课,8.3,1966人,[美] Andy Hunt / 崔康 / 人民邮电出版社 / 2010-12-10 / 39.00元,本书解释了为什么软件开发是一种精神活动，思考如何解决问题，并就开发人员如何能更好地开发软件进行了评论。书中不仅给出了一些理论上的答案，同时提供了大量实践技术... ,Andy Hunt,思维&软件开发&编程&程序员的思维修炼&程序员&计算机&认知&编程艺术
https://book.douban.com/subject/33377417/,https://img9.doubanio.com/view/subject/s/public/s32265576.jpg,数据结构与算法图解, ,8.0,154人,[美]杰伊•温格罗 / 袁志鹏 / 人民邮电出版社 / 2019-4 / 49.00元,本书是数据结构与算法的入门指南，不局限于某种特定语言，略过复杂的数学公式，用通俗易懂的方式针对编程初学者介绍数据结构与算法的基本概念，培养读者编程逻辑。主要... ,杰伊•温格罗,算法&数据结构&数据结构与算法&计算机&编程&计算科学&软件工程&C
https://book.douban.com/subject/26663756/,https://img3.doubanio.com/view/subject/s/public/s28339510.jpg,明解C语言（第3版）,入门篇,9.1,93人,[日] 柴田望洋 / 管杰、罗勇、杜晓静 / 人民邮电出版社 / 2015-11-1 / 79.00元,暂无,柴田望洋,C语言&编程&计算机&c语言&入门&计算机科学&编程语言&C
https://book.douban.com/subject/35144587/,https://img2.doubanio.com/view/subject/s/public/s33699643.jpg,Go专家编程, ,9.0,57人,任洪彩 / 电子工业出版社 / 2020-7 / 108.00元,《Go专家编程》深入地讲解了Go语言常见特性的内部机制和实现方式，大部分内容源自对Go语言源码的分析，并从中提炼出实现原理。通过阅读本书，读者可以快速、轻松... ,任洪彩,Go&编程语言&计算机&programming&计算机科学&编程&思维&系统设计
https://book.douban.com/subject/34996717/,https://img9.doubanio.com/view/subject/s/public/s33596225.jpg,人人可懂的量子计算, ,9.2,62人,[美]克里斯·伯恩哈特（Chris Bernhardt） / 邱道文、周旭、萧利刚、林一诺、朱祎康 / 机械工业出版社 / 2020-2 / 59,暂无,克里斯·伯恩哈特,量子&科普&计算机&计算机科学&物理&物理学&科学&数学
https://book.douban.com/subject/2044818/,https://img1.doubanio.com/view/subject/s/public/s5811568.jpg,操作系统设计与实现（上册）, ,9.1,235人,Andrew S. Tanenbaum、Albert S. Woodhull / 陈渝、谌卫军 / 电子工业出版社 / 2007-3 / 49.80元,本书是关于操作系统的权威教材。大多数关于操作系统的图书均重理论而轻实践，而本书则在这两者之间进行了较好的折中。本册详细探讨了操作系统的基本原理，包括进程、进... ,Andrew S. Tanenbaum&Albert S. Woodhull,操作系统&计算机&计算机科学&编程&经典&计算机系统&Unix
https://book.douban.com/subject/35013531/,https://img2.doubanio.com/view/subject/s/public/s33606981.jpg,Java并发实现原理：JDK源码剖析, ,8.8,36人,余春龙 / 电子工业出版社 / 2020-4 / 89元,《Java并发实现原理：JDK源码剖析》全面而系统地剖析了Java Concurrent包中的每一个部分，对并发的实现原理进行了深刻的探讨。全书分为8章，第... ,余春龙,Java&并发编程&并发&java&多线程&计算机&编程&开发
https://book.douban.com/subject/27667375/,https://img9.doubanio.com/view/subject/s/public/s29667615.jpg,Python基础教程（第3版）, ,8.2,205人,Magnus Lie Hetland / 袁国忠 / 人民邮电出版 / 2018-2-1 / CNY 99.00,本书包括Python程序设计的方方面面：首先从Python的安装开始，随后介绍了Python的基础知识和基本概念，包括列表、元组、字符串、字典以及各种语句；... ,Magnus Lie Hetland,Python&编程&计算机&基础&计算机科学&programming&图灵&2018书单
