书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签
https://book.douban.com/subject/2124368/,https://img9.doubanio.com/view/subject/s/public/s5828265.jpg,证明与反驳,数学发现的逻辑,8.8,301人,[英] 伊姆雷·拉卡托斯 / 方刚、兰钊 / 复旦大学出版社 / 2007-3 / 15.00元,《证明与反驳:数学发现的逻辑》是匈牙利裔英国籍著名哲学家伊姆雷·拉卡托斯于20世纪60年代完成的一部探索数学史上新的发现产生过程的经典著作。书的主要内容包括... ,伊姆雷·拉卡托斯,数学&思维&逻辑&科学哲学&科普&哲学&逻辑学&科学
https://book.douban.com/subject/2275520/,https://img3.doubanio.com/view/subject/s/public/s9224850.jpg,连续介质力学（第一卷）, ,9.1,23人,[俄] Л. И. 谢多夫 / 李植 / 高等教育出版社 / 2007-9 / 49.00元,《连续介质力学(第1卷)(第6版)》介绍连续介质力学的一般概念和简单模型，包括一般曲线坐标系中的张量分析、运动学、基本微分方程和本构关系、热力学基础和电磁场... ,Л. И. 谢多夫,力学&数学&物理&物理学&科学&教材
https://book.douban.com/subject/25786622/,https://img9.doubanio.com/view/subject/s/public/s27187224.jpg,致命接触,全球大型传染病探秘之旅,7.7,336人,[美] 大卫·奎曼 / 刘颖 / 中信出版社 / 2014-1 / 48.00,暂无,大卫·奎曼,科普&医学&病毒&生物&医疗&灾难&科学&风险
https://book.douban.com/subject/35084587/,https://img2.doubanio.com/view/subject/s/public/s33668883.jpg,哥白尼问题,占星预言、怀疑主义与天体秩序,8.4,73人,罗伯特·S.韦斯特曼 / 霍文利、蔡玉斌 / 广西师范大学出版社 / 2020-7-1 / 298,15世纪的欧洲，人们仍然认为地球是宇宙的中心。波兰天文学家哥白尼提出“日心说”不仅拉开了现代科学发展的序幕，还彻底摧毁了中世纪的道德观念，改变了欧洲的社会、... ,罗伯特·S.韦斯特曼,科学史&天文&科普&科学&广西师范大学出版社&2020
https://book.douban.com/subject/25819486/,https://img9.doubanio.com/view/subject/s/public/s27210515.jpg,西方文化中的数学, ,8.8,62人,[美]莫里斯·克莱因 / 张祖贵 / 商务印书馆 / 2013-6 / 53.00,本书作者莫里斯·克莱因是美国著名的应用数学家、数学教育家、数学史学家和数学哲学家。本书的目的是为了阐明这样一个观点：在西方文明中，数学一直是一种主要的文化力... ,莫里斯·克莱因,数学&科普&历史&思想史&科学哲学&科学&西方文化&哲学
https://book.douban.com/subject/4887623/,https://img2.doubanio.com/view/subject/s/public/s6920511.jpg,全像宇宙投影三部曲 （第三部）,時間與空間,8.4,32人,麥可・泰波 / 潘定凱 / 琉璃光 / 1998-1-15 / TWD 180,宇宙間的信息，我們五官所能感受到的極有限。我們的聽覺、視覺、嗅覺、味覺、觸覺往往還不如很多動物。借著科技的儀器，如電視、收音機、顯微鏡、望遠鏡，我們可以稍微... ,麥可・泰波,灵修&身心灵&自然科学&灵性&科学&神作&秘密&新时代
https://book.douban.com/subject/2178389/,https://img9.doubanio.com/view/subject/s/public/s6064316.jpg,如何撰写和发表科技论文,第六版,8.8,127人,巴巴拉·盖斯特尔 / 北京大学出版社 / 2007-7 / 28.00元,《如何撰写和发表科技论文(第6版)(影印版)》于1979年首次出版后不断再版和重印，深受理工科学生和科研人员的欢迎，被全世界上百所大学列为科技写作方面的教科... ,巴巴拉·盖斯特尔,论文写作&科研&论文&写作&学术&学习方法&科学&方法论
https://book.douban.com/subject/26786294/,https://img2.doubanio.com/view/subject/s/public/s28689651.jpg,溯源探幽,熵的世界,8.9,12人,冯端、冯少彤 / 科学出版社 / 2016-4-1 / 38.00,讲述的内容大体依循了历史发展的顺序：头两章介绍了第二定律在热力学中的地位以及在热力学范围内熵的含意；第三、四两章着重讨论了熵在统计物理学及分子动力论中的意义... ,冯端&冯少彤,科普&物理&物理学&科学&科学文化&人生必读&长尾&tt
https://book.douban.com/subject/30311816/,https://img9.doubanio.com/view/subject/s/public/s29866665.jpg,荒诞医学史, ,7.9,4516人,莉迪亚•康、内特•彼得森 / 王秀莉、赵一杰 / 江西科学技术出版社 / 2018-9 / 48.00元,暂无,莉迪亚•康&内特•彼得森,医学&科普&历史&医学健康&社会学&文化&外国文学&心理学
https://book.douban.com/subject/35019300/,https://img9.doubanio.com/view/subject/s/public/s33621535.jpg,嘉卉,百年中国植物科学画,9.6,46人,张寿洲（主编）、马平（主编）、刘启新（副主编）、杨建昆（副主编） / 江苏凤凰科学技术出版社 / 2020-1 / 698.00元,暂无,张寿洲&马平&刘启新&杨建昆,科普&博物&自然&绘画&科学&中国&历史
https://book.douban.com/subject/25852471/,https://img9.doubanio.com/view/subject/s/public/s27245044.jpg,统计热力学, ,9.4,12人,E. 薛定谔 / 徐锡申、陈成琳 / 高等教育出版社 / 2014-1-31 / 39,本书最初是薛定谔1944年1月至3月在爱尔兰都柏林高级研究院理论物理所的研究班讲座上的讲演稿，迄今已70年。几十年来，统计物理有了巨大发展，但本书所阐述的基... ,E. 薛定谔,物理&薛定谔&科学&自然科学&统计&物理学
https://book.douban.com/subject/34437693/,https://img3.doubanio.com/view/subject/s/public/s33688030.jpg,朝闻道, ,8.9,47人,刘慈欣 / 江苏凤凰文艺出版社 / 2019-10-1,世界科幻大奖“雨果奖”首位亚洲得主、多次中国科幻奖“银河奖”得主刘慈欣中短篇代表作集结，精选收录了《带上她的眼睛》《朝间道》《思想者》《中国太阳》《全频带阻... ,刘慈欣,科幻&刘慈欣&科学&小说&哲学&短篇&悬疑&文学
https://book.douban.com/subject/1022538/,https://img2.doubanio.com/view/subject/s/public/s1056201.jpg,达尔文生平（全二册）, ,7.5,18人,（英）达尔文 / 叶晓 / 辽宁教育出版社 / 1998-3 / 17.90元,达尔文生平，ISBN：9787538250695，作者：（英）F.达尔文编；叶笃庄，叶晓译 ,达尔文,传记&达尔文&科普&科学&新世纪万有文库&生物&看
https://book.douban.com/subject/4045409/,https://img9.doubanio.com/view/subject/s/public/s6893965.jpg,哥德巴赫猜想,报告文学集,7.9,73人,徐遲 / 人民文學出版社 / 1978 / 0.43,http://baike.baidu.com/view/1808.htm ,徐遲,报告文学&中国文学&非虚构写作&科普&科学&传记&中国&文集
https://book.douban.com/subject/27171443/,https://img2.doubanio.com/view/subject/s/public/s29647652.jpg,看不见的视力,对有意识和无意识视觉的探索,8.9,50人,梅尔文·古德尔(Melvyn A．Goodale)、大卫·米尔纳，(David Milner) / 李恒威、龚书 / 浙江大学出版社 / 2017-10-1,视觉，比其它任何感觉，更能主宰我们的精神生活。即使当我们仅仅只是在思考世界而并没有直接看它，我们也会情不自禁的去想象它是什么样子。但是那些丰富的视觉的经验来... ,梅尔文·古德尔&大卫·米尔纳，,认知科学&神经科学&脑科学&心理学&视觉&认知神经科学&科普&艺术
https://book.douban.com/subject/30317231/,https://img2.doubanio.com/view/subject/s/public/s29917602.jpg,天气预报：一部科学探险史,一部科学探险史,8.5,377人,[英]彼得•穆尔 / 张朋亮 / 广西师范大学出版社 / 2019-1 / 68.00,暂无,彼得•穆尔,科普&气象&自然&历史&英国&纪实&科学科技&科学
https://book.douban.com/subject/1014451/,https://img3.doubanio.com/view/subject/s/public/s1343190.jpg,中国性科学百科全书, ,7.3,33人,《中国性科学百科全书》编辑委员会，中国大百科全书出版社科技 / 中国大百科全书出版社 / 1998-06 / 128.00元,本书的编撰宗旨是：为广大读者提供系统、全面、正确的性科学知识、帮助缺乏性知识和有不正确性观念的人走出误区，引导人们继承和发场中华民族优良的性文明传统，开拓当... ,《中国性科学百科全书》编辑委员会，中国大百科全书出版社科技,性&性学&百科全书&心理学&百科&科学&情感
https://book.douban.com/subject/26860231/,https://img1.doubanio.com/view/subject/s/public/s28994187.jpg,虚拟人, ,7.2,72人,[美] 玛蒂娜•罗斯布拉特 （Martine Rothblatt） / 郭雪 / 浙江人民出版社 / 2016-9 / 72.90元,暂无,玛蒂娜•罗斯布拉特,人工智能&未来&湛庐文化&科学&哲学
https://book.douban.com/subject/1260295/,https://img9.doubanio.com/view/subject/s/public/s1345715.jpg,可怕的科学（共57册）, ,9.6,334人,尼克·阿诺德 / 阎庚 / 北京少年儿童出版社 / 2004年8月1日 / 580.00元,紧密配合最新课标，精选世界科普经典。囊括科学新知+体验科学历程。 ,尼克·阿诺德,科普&科学&幽默&童书&可怕的科学&英国
https://book.douban.com/subject/1653590/,https://img1.doubanio.com/view/subject/s/public/s2387269.jpg,星系动力学, ,9.2,22人,詹姆斯.宾尼 / 宋国玄 / 上海科技出版发行有限公司 / 2005-4 / 72.00元,夜晚的星空神秘莫测，那一个个的星系组成了蔚为壮观的宇宙，来自星空的秘密——《星系动力学》，让你体会到浪漫星空背后的无穷知识，本书由星系物理学的专家詹姆斯·宾... ,詹姆斯.宾尼,天文&天体物理&物理&自然科学&天文学&物理学&经典&科学
https://book.douban.com/subject/30227355/,https://img2.doubanio.com/view/subject/s/public/s29991451.jpg,一本有趣又有料的科学书, ,6.5,372人,大象公会 / 中国画报出版社 / 2018-5 / 45.00,《一本有趣又有料的科学书》是大象公会的文章合集，以真问真答栏目为主，收录多篇热点文章阅读、转发量超过百万。涉及天文、地理、生物、医学等众多知识领域。用46篇... ,大象公会,科普&科学&社科&自然&社会学&教育
https://book.douban.com/subject/22993873/,https://img1.doubanio.com/view/subject/s/public/s26031299.jpg,宇宙之书,从托勒密、爱因斯坦到多重宇宙,8.5,475人,约翰•D.巴罗 (John D.Barrow) / 李剑龙 / 人民邮电出版社 / 2013-4-1 / 39.00元,头上的星空，自古以来就激发着人类无尽的好奇和想象。为了解释我们所见的宇宙，从亚里士多德、托勒密、哥白尼、牛顿、康德到爱因斯坦，再到现代学者对爱因斯坦宇宙学方... ,约翰•D.巴罗,科普&宇宙&物理&科学&物理学&英国&科学松鼠会&科幻
