书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/34988835/,https://img1.doubanio.com/view/subject/s/public/s33780158.jpg,如何独立思考,跨越认知陷阱，建立科学思维,8.6,105人,[美]史蒂文·诺韦拉（Steven Novella） / 文辉、汪冰 / 中信出版集团 / 2021-1 / 88,暂无,史蒂文·诺韦拉
https://book.douban.com/subject/1925936/,https://img2.doubanio.com/view/subject/s/public/s10107552.jpg,默克家庭诊疗手册, ,9.2,169人,比尔斯 / 人民卫生出版社 / 2006-10 / 168.00元,暂无,比尔斯
https://book.douban.com/subject/35218287/,https://img9.doubanio.com/view/subject/s/public/s33732716.jpg,公式之美, ,8.5,275人,量子学派 / 北京大学出版社 / 2020-9-1 / 128.00元,暂无,量子学派
https://book.douban.com/subject/35546167/,https://img2.doubanio.com/view/subject/s/public/s33956352.jpg,饮食真相, ,7.6,105人,[英]蒂姆·斯佩克特 / 张敬婕 / 新星出版社 / 2021-8 / 59.00元,暂无,蒂姆·斯佩克特
https://book.douban.com/subject/35546622/,https://img1.doubanio.com/view/subject/s/public/s33956867.jpg,置身事内,中国政府与经济发展,8.9,6628人,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,暂无,兰小欢
https://book.douban.com/subject/35546702/,https://img9.doubanio.com/view/subject/s/public/s34005216.jpg,静坐,的科学、医学与心灵之旅,9.4,74人,杨定一、杨元宁 / 华龄出版社 / 2021-7-1 / 69.00,暂无,杨定一&杨元宁
https://book.douban.com/subject/25717380/,https://img2.doubanio.com/view/subject/s/public/s29319631.jpg,赤裸裸的统计学,"除去大数据的枯燥外衣,呈现真实的数字之美",8.1,1572人,[美]查尔斯·韦兰 / 曹槟 / 中信出版社 / 2013-9 / CNY 42.00,暂无,查尔斯·韦兰
https://book.douban.com/subject/35517013/,https://img2.doubanio.com/view/subject/s/public/s34045532.jpg,预见下一代自然,科技如何重塑我们的未来,8.7,41人,薛尔特•范曼斯佛特 / 宗哲 / 华中科技大学出版社 / 2021-7 / 48.00元,暂无,薛尔特•范曼斯佛特
https://book.douban.com/subject/30376593/,https://img9.doubanio.com/view/subject/s/public/s29976164.jpg,当下的启蒙,为理性、科学、人文主义和进步辩护,8.1,1250人,[美] 史蒂芬·平克 / 侯新智、欧阳明亮、魏薇 / 浙江人民出版社 / 2018-12 / 159.90,暂无,史蒂芬·平克
https://book.douban.com/subject/24380079/,https://img2.doubanio.com/view/subject/s/public/s26378943.jpg,怎样征服美丽少女, ,8.2,1177人,刘国章/编译 / 河北人民出版社 / 1989-2 / 2.10,该书大道至简，以图文并茂的形式讲解了如何把握异性心理、建立吸引的规律到如何追求女生的全过程。其姊妹篇为《如何征服英俊少男》。从内容来看，本文为译作。日文原作... ,刘国章
https://book.douban.com/subject/26936484/,https://img9.doubanio.com/view/subject/s/public/s29295915.jpg,醉酒的植物学家,创造了世界名酒的植物,8.4,841人,[美] 艾米·斯图尔特 / 刘夙 / 商务印书馆 / 2017-1 / 65.00元,暂无,艾米·斯图尔特
https://book.douban.com/subject/35488969/,https://img9.doubanio.com/view/subject/s/public/s33924555.jpg,神知识又增加了,希腊神话图解百科,8.2,146人,[法]奥德·戈埃米纳、[法]安娜-洛尔·瓦鲁特斯科斯 / 都文 / 上海文化出版社 / 2021-6-1 / 88.00元,暂无,奥德·戈埃米纳&安娜-洛尔·瓦鲁特斯科斯
https://book.douban.com/subject/35030244/,https://img1.doubanio.com/view/subject/s/public/s33641838.jpg,六极物理, ,8.4,277人,严伯钧 / 接力出版社 / 2020-6 / 68.00元,暂无,严伯钧
https://book.douban.com/subject/35358021/,https://img9.doubanio.com/view/subject/s/public/s33849816.jpg,对称与不对称, ,9.0,85人,李政道 / 中信出版集团 / 2021-4 / 52.00元,暂无,李政道
https://book.douban.com/subject/35653378/,https://img2.doubanio.com/view/subject/s/public/s34034882.jpg,解困之道,在复杂世界中解决复杂问题,暂无,少于10人,[美] 亚内尔•巴尔-扬 / 沈忱 / 上海科技教育出版社 / 2021-10 / 58.00元,暂无,亚内尔•巴尔-扬
https://book.douban.com/subject/35460902/,https://img1.doubanio.com/view/subject/s/public/s33895607.jpg,地下世界,我们脚下的人类历史,8.1,69人,[美])威尔·亨特 / 陈耀庭、姜易琳 / 现代出版社 / 2021-5 / 69.00元,亨特在他跨越时空的故事里，与各地探索者一起研究神秘的地下世界。他曾与美国国家航空航天局的微生物学家一起深入黑丘地下一千六百米处探寻生命的起源；他曾与巴黎的地... ,]威尔·亨特
https://book.douban.com/subject/26708760/,https://img2.doubanio.com/view/subject/s/public/s28487611.jpg,死亡的脸,耶鲁大学努兰医生的12堂死亡课,8.8,405人,[美]舍温·努兰（Sherwin Nuland） / 杨慕华 / 中信出版社 / 2016-4-15 / 45.00元,《死亡的脸》是耶鲁大学备受欢迎的医学教授、外科医生舍温·努兰的经典作品，荣获美国国家图书奖。抢救生命似乎是医学的天职与成就，然而努兰1993年出版《死亡的脸... ,舍温·努兰
https://book.douban.com/subject/25923082/,https://img2.doubanio.com/view/subject/s/public/s27981642.jpg,万物运转的秘密,给青少年的物理世界入门书,9.3,343人,大卫·麦考利 (David Macaulay)、尼尔·阿德利 (Neil Ardley) / 赵耀康、韦坤华 / 电子工业出版社 / 2014-5 / 128,《DK万物运转的秘密:给青少年的物理世界入门书》内容简介：凯迪克金奖得主大卫·麦考利经典科普绘本，这本充满创意的物理世界入门书自出版以来畅销半个世纪，让看似... ,大卫·麦考利&尼尔·阿德利
https://book.douban.com/subject/34869452/,https://img2.doubanio.com/view/subject/s/public/s33507423.jpg,睡莲的方程式,科学角度的种族、智商与星座,8.3,361人,[ 法] 阿尔贝·雅卡尔 / 姜海佳 / 新星出版社 / 2019-11-1 / 28.00,暂无,阿尔贝·雅卡尔
https://book.douban.com/subject/35328607/,https://img3.doubanio.com/view/subject/s/public/s33804010.jpg,起源,NASA天文学家的万物解答,8.8,61人,(英) 巴赫拉姆 ·莫巴舍尔 (Bahram Mobasher) / 李永学 / 湖南科学技术出版社 / 2021-2 / 158.00元,暂无,巴赫拉姆 ·莫巴舍尔
https://book.douban.com/subject/26776967/,https://img9.doubanio.com/view/subject/s/public/s28650756.jpg,发现的乐趣,费曼演讲、访谈集,8.4,1637人,[美] 理查德·费曼 / 朱宁雁 / 北京联合出版公司 / 2016-5 / 39.80元,《发现的乐趣》收录了费曼一生中最能代表其科学观、价值观、教育观的13篇访谈和演讲文章。通过费曼自己的话语，我们得以聆听他的童年故事、参与原子弹研制的传奇经历... ,理查德·费曼
https://book.douban.com/subject/30349090/,https://img9.doubanio.com/view/subject/s/public/s33300386.jpg,祖先的故事,生命起源的朝圣之旅,9.0,196人,[英]理查德·道金斯（Richard Dawkins）、[英]黄可仁（Yan Wong） / 许师明、郭运波 / 中信出版集团 / 2019-7 / 148,暂无,理查德·道金斯&黄可仁
https://book.douban.com/subject/5937126/,https://img9.doubanio.com/view/subject/s/public/s4668105.jpg,认知神经科学,关于心智的生物学,9.3,673人,Michael S. Gazzaniga、Richard B. Ivry、George R. Mangun / 周晓林、高定国 / 中国轻工业出版社 / 2011-2 / 180.00元,欢迎翻开第三版!每当像认知神经科学这样的新领域出现时，人们对它的前途并不总是信心满满，甚至怀疑它会不会昙花一现。对新领域的新鲜热情就像看着一只第一次站立起来... ,Michael S. Gazzaniga&Richard B. Ivry&George R. Mangun
https://book.douban.com/subject/27172136/,https://img9.doubanio.com/view/subject/s/public/s29580566.jpg,Why We Sleep,Unlocking the Power of Sleep and Dreams,8.7,697人,Matthew Walker PhD / Scribner / 2017-10-3 / USD 27.00,"The first sleep book by a leading scientific expert—Professor Matthew Walker, ... ",Matthew Walker PhD
https://book.douban.com/subject/35200639/,https://img3.doubanio.com/view/subject/s/public/s33726230.jpg,半小时漫画预防常见病, ,6.6,604人,陈磊·半小时漫画团队 / 海南出版社 / 2020-9-10 / 45.00,暂无,陈磊·半小时漫画团队
https://book.douban.com/subject/35593983/,https://img2.doubanio.com/view/subject/s/public/s34033283.jpg,疫苗, ,9.6,13人,[美]克里斯滕•A.菲姆斯特 / 张波、叶寒青 / 华中科技大学出版社 / 2021-10 / 88.00,免疫被许多人视为现代文明中最伟大的进步之一。疫苗的广泛使用使得预期寿命延长，儿童疾病发生率下降，通常情况下，每年可挽救数百万人的生命。但自从两个世纪以前被发... ,克里斯滕•A.菲姆斯特
https://book.douban.com/subject/35069819/,https://img9.doubanio.com/view/subject/s/public/s33682695.jpg,激素小史, ,7.8,228人,[美] 兰迪·胡特尔·爱泼斯坦 / 杨惠东 / 中信出版集团 / 2020-7-1 / 59.00,性别、母爱、饥饿感、信任与依赖、愤怒与冲动都是怎样被“制造”出来的？睾丸被移植到肠道的公鸡、用来验孕的老鼠和兔子、震惊世人的利奥波德-洛布谋杀案……这些重口... ,兰迪·胡特尔·爱泼斯坦
https://book.douban.com/subject/35365678/,https://img2.doubanio.com/view/subject/s/public/s33857411.jpg,裸猿,“裸猿三部曲”之一,7.7,155人,[英]德斯蒙德·莫利斯 / 何道宽 / 上海译文出版社 / 2021-3 / 48,暂无,德斯蒙德·莫利斯
https://book.douban.com/subject/27108800/,https://img9.doubanio.com/view/subject/s/public/s29594034.jpg,纸上动物园,大英图书馆500年动物图志,8.2,1177人,[英] 夏洛特·斯莱、大英图书馆 / 王岑卉 / 北京联合出版公司 / 2017-12 / 168,暂无,夏洛特·斯莱&大英图书馆
https://book.douban.com/subject/27043494/,https://img2.doubanio.com/view/subject/s/public/s29650653.jpg,性愛好科學,掙脫迷思、用自己的方式高潮,,10人,艾蜜莉．納高斯基 / 廖亭雲 / 行人 / 2017-4-25 / 500元,暂无,艾蜜莉．納高斯基
https://book.douban.com/subject/35531583/,https://img1.doubanio.com/view/subject/s/public/s33950267.jpg,让孩子受益一生的大脑开发课,用脑科学培养你家的小学霸,9.0,148人,杨滢 / 海南出版社 / 2021-7 / 69.90元,这是一本真正意义上从脑科学角度指导中国家庭教育实践的书。作者将世界脑科学研究的前沿成果结合当下教育环境，为家长全面梳理了家庭开发儿童大脑的一系列科学原理和实... ,杨滢
https://book.douban.com/subject/34778568/,https://img2.doubanio.com/view/subject/s/public/s33474922.jpg,海错图笔记·叁, ,9.1,693人,张辰亮 / 中信出版集团 / 2019-10 / 78,《海错图》成书于清康熙年间，是浙江人聂璜绘制的一部海洋生物图谱。聂璜把他在中国沿海亲眼所见、亲耳所闻的海洋生物都画进了这部图谱。书中记载亦真亦假，妙趣横生。... ,张辰亮
